linea,sentido,tipodia,sublinea,tr_optimo,tr_minimo,tr_maximo,nodo,nodo_2,hora_desde,hora_minimo,hora_maximo
2,1,Habil,1453,00:54:45,00:51:45,00:56:45,Portal Sur T6,Flores B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
2,1,Habil,1453,00:54:45,00:51:45,00:56:45,Portal Sur T6,Flores B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
2,2,Habil,1453,00:55:15,00:51:45,00:57:15,Flores B - 4 ó 6,Portal Sur T6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
2,2,Habil,1453,00:55:15,00:51:45,00:57:15,Flores B - 4 ó 6,Portal Sur T6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
4,1,Habil,1210,00:24:30,00:24:15,00:27:30,Toberín D - 2,Calle 72 C - 2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
4,1,Habil,1210,00:24:30,00:24:15,00:27:30,Toberín D - 2,Calle 72 C - 2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
6,1,Habil,1379,00:42:15,00:39:45,00:43:30,Portal 80 T-2,Portal Norte T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
6,1,Habil,1379,00:42:15,00:39:45,00:43:30,Portal 80 T-2,Portal Norte T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,1,Habil,1487,00:04:35,00:04:19,00:04:46,Portal Américas T3,Biblioteca Tintal A - 1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,1,Habil,1487,00:04:35,00:04:19,00:04:46,Portal Américas T3,Biblioteca Tintal A - 1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,1,Habil,1487,00:04:35,00:04:19,00:04:46,Biblioteca Tintal A - 1,Banderas T6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,1,Habil,1487,00:04:35,00:04:19,00:04:46,Biblioteca Tintal A - 1,Banderas T6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,1,Habil,1487,00:04:35,00:04:19,00:04:46,Banderas T6,Portal Norte T2B,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
12,1,Habil,1487,00:04:35,00:04:19,00:04:46,Banderas T6,Portal Norte T2B,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
14,1,Habil,1497,00:54:00,00:48:15,00:56:30,Portal Suba T8,Calle 161 B - 1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
14,1,Habil,1497,00:54:00,00:48:15,00:56:30,Portal Suba T8,Calle 161 B - 1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
14,2,Habil,1497,00:49:59,00:47:58,00:51:43,Calle 161 B - 1,Portal Suba T8,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
14,2,Habil,1497,00:49:59,00:47:58,00:51:43,Calle 161 B - 1,Portal Suba T8,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
18,1,Habil,1377,00:20:00,00:18:45,00:21:30,Portal 80 T-4,Héroes C - 4,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
18,1,Habil,1377,00:20:00,00:18:45,00:21:30,Portal 80 T-4,Héroes C - 4,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
19,1,Habil,1361,00:32:30,00:28:00,00:34:15,Portal Suba T8,Héroes B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
19,1,Habil,1361,00:32:30,00:28:00,00:34:15,Portal Suba T8,Héroes B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,1,Habil,1523,00:08:23,00:08:08,00:08:33,Banderas T1,Marsella B - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,1,Habil,1523,00:08:23,00:08:08,00:08:33,Banderas T1,Marsella B - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,1,Habil,1523,00:08:23,00:08:08,00:08:33,Marsella B - 2 ó 5,Portal Suba T6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,1,Habil,1523,00:08:23,00:08:08,00:08:33,Marsella B - 2 ó 5,Portal Suba T6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,2,Habil,1523,00:05:19,00:05:11,00:05:23,Portal Suba T6,La Campiña A - 2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,2,Habil,1523,00:05:19,00:05:11,00:05:23,Portal Suba T6,La Campiña A - 2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,2,Habil,1523,00:05:19,00:05:11,00:05:23,La Campiña A - 2,Banderas T1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
27,2,Habil,1523,00:05:19,00:05:11,00:05:23,La Campiña A - 2,Banderas T1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
39,1,Habil,1480,00:42:30,00:40:15,00:43:15,Portal Américas T3 B,NQS - Calle 75 B - 4 ó 6,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
39,1,Habil,1480,00:42:30,00:40:15,00:43:15,Portal Américas T3 B,NQS - Calle 75 B - 4 ó 6,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
39,1,Habil,1481,00:48:30,00:45:45,00:49:30,NQS - Calle 75 A - 1,Portal Américas T3 B,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
39,1,Habil,1481,00:48:30,00:45:45,00:49:30,NQS - Calle 75 A - 1,Portal Américas T3 B,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
41,1,Habil,1380,01:15:45,01:12:00,01:18:30,Granja - Cra. 77 C - 2 ó 5,Portal Américas T7,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
41,1,Habil,1380,01:15:45,01:12:00,01:18:30,Granja - Cra. 77 C - 2 ó 5,Portal Américas T7,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
47,1,Habil,1218,00:28:00,00:25:00,00:28:00,Mazurén C - 1,Calle 57 C - 2,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
47,1,Habil,1218,00:28:00,00:25:00,00:28:00,Mazurén C - 1,Calle 57 C - 2,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
54,1,Habil,985,00:05:45,00:05:45,00:05:45,Portal Norte T1,Toberín C - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
54,1,Habil,985,00:05:45,00:05:45,00:05:45,Portal Norte T1,Toberín C - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
54,1,Habil,985,00:05:45,00:05:45,00:05:45,Toberín C - 2 ó 5,Aguas A - 1,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
54,1,Habil,985,00:05:45,00:05:45,00:05:45,Toberín C - 2 ó 5,Aguas A - 1,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
56,1,Habil,1019,00:19:15,00:18:15,00:19:45,Portal Eldorado T-5,Calle 22 A - 2 ó 5,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
56,1,Habil,1019,00:19:15,00:18:15,00:19:45,Portal Eldorado T-5,Calle 22 A - 2 ó 5,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
56,1,Habil,1019,00:19:15,00:18:15,00:19:45,Calle 22 A - 2 ó 5,PORTAL 20 DE JULIO T3,2022-03-18T01:00:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
56,1,Habil,1019,00:19:15,00:18:15,00:19:45,Calle 22 A - 2 ó 5,PORTAL 20 DE JULIO T3,2022-03-18T20:30:00Z,2022-03-18T01:00:00Z,2022-03-18T20:30:00Z
